idx,cycle,psram_free,psram_largest,psram_min_ever,iram_free,iram_largest,iram_min_ever,int_free,int_largest,int_min_ever,hwm_console_repl,hwm_IDLE0,hwm_IDLE1,hwm_ipc0,hwm_ipc1
0,0,8385920,8257536,8379144,300936,270336,293184,364999,270336,357247,2168,756,752,600,596
1,10,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
2,20,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
3,30,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
4,40,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
5,50,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
6,60,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
7,70,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
8,80,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
9,90,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
10,100,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
11,110,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
12,120,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
13,130,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
14,140,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
15,150,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
16,160,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
17,170,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
18,180,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
19,190,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2168,756,752,600,596
20,200,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2088,756,752,600,596
21,210,8385920,8257536,8379144,300936,270336,293096,364999,270336,357159,2088,756,752,600,596
